order,regpro,mrp_estimate_A_cbs,mrp_estimate_A_cbs_se,data,n_sample
1,BC,0.024867913,0.00178601,CBS_MRP,1250
2,AB,0.051130336,0.002417868,CBS_MRP,769
3,MB,0.043724864,0.004359067,CBS_MRP,191
4,SK,0.040899193,0.004152032,CBS_MRP,212
5,ON,0.030700815,0.001261302,CBS_MRP,2823
6,ATL,0.003830505,0.000873761,CBS_MRP,375
7,BC,0.026602534,0.003372897,ABC_MRP,1250
8,AB,0.026230647,0.004035515,ABC_MRP,769
9,MB,0.026158375,0.00511844,ABC_MRP,191
10,SK,0.027088298,0.005651726,ABC_MRP,212
11,ON,0.025302613,0.002750213,ABC_MRP,2823
12,ATL,0.023378504,0.003889196,ABC_MRP,375
13,BC,0.022393365,0.001610536,CBS,1250
14,AB,0.043164785,0.001979441,CBS,769
15,MB,0.037553233,0.003740674,CBS,191
16,SK,0.035534956,0.003638355,CBS,212
17,ON,0.026607813,0.001033649,CBS,2823
18,ATL,0.003115776,0.000713694,CBS,375
19,BC,0.0248,0.004398633,ABC,1250
20,AB,0.028608583,0.00601149,ABC,769
21,MB,0.02617801,0.011552911,ABC,191
22,SK,0.037735849,0.013087488,ABC,212
23,ON,0.023025151,0.002822848,ABC,2823
24,ATL,0.018666667,0.006989177,ABC,375
